filename,title,album,artist,genre,tracknumber,comment
045 AlJathiya.mp3,045 AlJathiya,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,045,AlJathiya recitation by  Hani ArRifai
046 AlAhqaf.mp3,046 AlAhqaf,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,046,AlAhqaf recitation by  Hani ArRifai
047 Muhammad.mp3,047 Muhammad,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,047,Muhammad recitation by  Hani ArRifai
048 AlFath.mp3,048 AlFath,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,048,AlFath recitation by  Hani ArRifai
049 AlHujraat.mp3,049 AlHujraat,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,049,AlHujraat recitation by  Hani ArRifai
050 Qaf.mp3,050 Qaf,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,050,Qaf recitation by  Hani ArRifai
051 AdhDhariyat.mp3,051 AdhDhariyat,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,051,AdhDhariyat recitation by  Hani ArRifai
052 AtTur.mp3,052 AtTur,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,052,AtTur recitation by  Hani ArRifai
053 AnNajm.mp3,053 AnNajm,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,053,AnNajm recitation by  Hani ArRifai
054 AlQamar.mp3,054 AlQamar,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,054,AlQamar recitation by  Hani ArRifai
055 ArRahman.mp3,055 ArRahman,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,055,ArRahman recitation by  Hani ArRifai
056 AlWaqia.mp3,056 AlWaqia,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,056,AlWaqia recitation by  Hani ArRifai
057 AlHadid.mp3,057 AlHadid,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,057,AlHadid recitation by  Hani ArRifai
058 AlMujadila.mp3,058 AlMujadila,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,058,AlMujadila recitation by  Hani ArRifai
059 AlHashr.mp3,059 AlHashr,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,059,AlHashr recitation by  Hani ArRifai
060 AlMumtahina.mp3,060 AlMumtahina,Tilawah-Hani ArRifai,Hani ArRifai,Tilawah,060,AlMumtahina recitation by  Hani ArRifai
