filename,title,album,artist,genre,tracknumber,comment
020.mp3,020 TaHa,Tilawah-Farres Abbad,Farres Abbad,Tilawah,20,TaHa recitation by Farres Abbad
021.mp3,021 AlAnbiya,Tilawah-Farres Abbad,Farres Abbad,Tilawah,21,AlAnbiya recitation by Farres Abbad
022.mp3,022 AlHajj,Tilawah-Farres Abbad,Farres Abbad,Tilawah,22,AlHajj recitation by Farres Abbad
023.mp3,023 AlMumenoon,Tilawah-Farres Abbad,Farres Abbad,Tilawah,23,AlMumenoon recitation by Farres Abbad
024.mp3,024 AnNoor,Tilawah-Farres Abbad,Farres Abbad,Tilawah,24,AnNoor recitation by Farres Abbad
025.mp3,025 AlFurqan,Tilawah-Farres Abbad,Farres Abbad,Tilawah,25,AlFurqan recitation by Farres Abbad
026.mp3,026 AshShuara,Tilawah-Farres Abbad,Farres Abbad,Tilawah,26,AshShuara recitation by Farres Abbad
027.mp3,027 AnNaml,Tilawah-Farres Abbad,Farres Abbad,Tilawah,27,AnNaml recitation by Farres Abbad
028.mp3,028 AlQasas,Tilawah-Farres Abbad,Farres Abbad,Tilawah,28,AlQasas recitation by Farres Abbad
029.mp3,029 AlAnkaboot,Tilawah-Farres Abbad,Farres Abbad,Tilawah,29,AlAnkaboot recitation by Farres Abbad
030.mp3,030 ArRoom,Tilawah-Farres Abbad,Farres Abbad,Tilawah,30,ArRoom recitation by Farres Abbad
031.mp3,031 Luqman,Tilawah-Farres Abbad,Farres Abbad,Tilawah,31,Luqman recitation by Farres Abbad
032.mp3,032 AsSajda,Tilawah-Farres Abbad,Farres Abbad,Tilawah,32,AsSajda recitation by Farres Abbad
033.mp3,033 AlAhzab,Tilawah-Farres Abbad,Farres Abbad,Tilawah,33,AlAhzab recitation by Farres Abbad
034.mp3,034 Saba,Tilawah-Farres Abbad,Farres Abbad,Tilawah,34,Saba recitation by Farres Abbad
035.mp3,035 Fatir,Tilawah-Farres Abbad,Farres Abbad,Tilawah,35,Fatir recitation by Farres Abbad
036.mp3,036 YaSeen,Tilawah-Farres Abbad,Farres Abbad,Tilawah,36,YaSeen recitation by Farres Abbad
037.mp3,037 AsSaaffat,Tilawah-Farres Abbad,Farres Abbad,Tilawah,37,AsSaaffat recitation by Farres Abbad
038.mp3,038 Sad,Tilawah-Farres Abbad,Farres Abbad,Tilawah,38,Sad recitation by Farres Abbad
039.mp3,039 AzZumar,Tilawah-Farres Abbad,Farres Abbad,Tilawah,39,AzZumar recitation by Farres Abbad
040.mp3,040 Ghafir,Tilawah-Farres Abbad,Farres Abbad,Tilawah,40,Ghafir recitation by Farres Abbad
041.mp3,041 Fussilat,Tilawah-Farres Abbad,Farres Abbad,Tilawah,41,Fussilat recitation by Farres Abbad
